"Name" -> "Traffic_Accidents_since_2011__counted_by_Street_and_Block"
"ResourceType" -> "DataResource"
"Title" -> "Traffic Accidents in Urbana"
"Description" -> "A table of amounts of traffic accidents group by street and block since 2011"
"Publisher" -> "City of Urbana"
"Source" -> "https://data.urbanaillinois.us/Police/Traffic-Accidents-since-2011-counted-by-Street-and/69bg-enq9"
"Date" -> "2011-"
"Keywords" -> "Text, Traffic, Accident, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Urbana, Illinois"
STREET,HOUSE NUMBER BLOCK,INCIDENT
E RAINBOW VIEW,1900 BLOCK,2
S MAPLE ST,1 BLOCK,1
E MAIN,1100 BLOCK,2
W EADS ST,1400 BLOCK,2
S VINE ST,1500 BLOCK,2
CUNNINGHAM AV,2600 BLOCK,1
S LINCOLN AVE,100 BLOCK,4
CUNNINGHAM AV,1500 BLOCK,26
E IOWA ST,100 BLOCK,1
S VINE ST,1400 BLOCK,6
GUARDIAN DR,600 BLOCK,2
PRAIRIE GREEN,2500 BLOCK,9
AUSTIN,1100 BLOCK,2
W UNIVERSITY AVE,1000 BLOCK,8
S GOODWIN AV,100 BLOCK,2
KERR AV,1 BLOCK,3
N RACE ST,500 BLOCK,1
N LINCOLN,200 BLOCK,1
W WINDSOR RD,2600 BLOCK,1
IL 130,1 BLOCK,2
W UNIVERISTY,1 BLOCK,1
S LINCOLN,900 BLOCK,6
S MATHEWS ST,200 BLOCK,2
CUNNINGHAM AVE,1 BLOCK,15
E WASHINGTON AVE,2400 BLOCK,2
N MAPLE ST,600 BLOCK,1
W GREEN ST,1400 BLOCK,9
E MAIN ST,1500 BLOCK,6
LINCOLN N AV,2000 BLOCK,1
COLORADO,1 BLOCK,6
N HARVEY ST,900 BLOCK,2
N ORCHARD,1 BLOCK,4
W MICHIGAN AVE,100 BLOCK,2
W UNIVERSITY AVE,300 BLOCK,1
N CUNNINGHAM AVE,1100 BLOCK,6
E MAIN ST,2800 BLOCK,2
VINE ST,400 BLOCK,2
S MATTHEWS,800 BLOCK,1
VINE,300 BLOCK,2
S RACE,1200 BLOCK,1
E WINDSOR,3100 BLOCK,1
WASHINGTON,1 BLOCK,30
VAWTER ST,2000 BLOCK,5
N MAPLE ST,400 BLOCK,2
PERKINS RD,1 BLOCK,5
S RACE ST,2800 BLOCK,3
N LINCOLN,1600 BLOCK,18
E MUMFORD DR,400 BLOCK,1
N BROADWAY AVE,1 BLOCK,3
S PHILO,1700 BLOCK,4
E ELM ST,1 BLOCK,6
W IOWA ST,800 BLOCK,7
E UNIVERSITY,3100 BLOCK,6
S LINCOLN AVE,200 BLOCK,1
E KERR AVE,1000 BLOCK,5
RACE S ST,1300 BLOCK,1
OREGON,1100 BLOCK,1
E MAIN,2400 BLOCK,3
S MATHEWS ST,100 BLOCK,2
E WINDSOR RD,3100 BLOCK,1
E MAIN ST,1700 BLOCK,1
FAIRVIEW,1 BLOCK,8
